ID,COUNTY
365,Calhoun
367,Orange
370,Gonzales
373,Refugio
376,Jim Hogg
377,Brazos
380,Jefferson
382,Hidalgo
385,Delta
387,Rockwall
389,DeWitt
392,Angelina
393,McLennan
394,Lamar
396,Leon
399,McMullen
402,Fort Bend
405,Fayette
408,Harrison
411,Washington
412,Sabine
415,Hopkins
417,Houston
419,Bexar
420,Rusk
423,Comal
425,Aransas
427,San Jacinto
429,Wharton
432,Karnes
435,Kaufman
438,Duval
440,Franklin
442,Waller
443,Kleberg
445,Bowie
448,Caldwell
450,Titus
452,Hays
454,Medina
456,Victoria
459,Tyler
462,Falls
465,Willacy
467,Henderson
470,Walker
471,Galveston
474,Harris
477,Nacogdoches
479,Guadalupe
482,Jackson
485,Frio
487,Colorado
490,Shelby
492,Cass
495,Ellis
497,Williamson
499,Van Zandt
501,Grimes
504,Navarro
506,Brooks
509,Wood
512,Polk
515,Lee
517,Cherokee
520,San Augustine
522,Madison
524,Milam
527,Nueces
530,Camp
532,Freestone
534,Marion
537,Liberty
539,Jasper
541,Chambers
544,Hardin
546,Brazoria
548,Bastrop
551,Limestone
554,Red River
557,Matagorda
559,Live Oak
562,Atascosa
564,Wilson
567,Starr
569,Dallas
571,La Salle
574,Austin
577,Smith
578,Robertson
581,Kenedy
584,Burleson
587,Bee
589,Trinity
592,Gregg
595,Lavaca
598,Goliad
599,Morris
602,Upshur
605,San Patricio
608,Webb
611,Newton
613,Panola
616,Anderson
618,Cameron
621,Montgomery
624,Jim Wells
627,Zapata
628,Travis
